Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 66.67      0.02     0.02        1    20.00    20.00  DualityEngine::Game::pauseBankDependentSystems()
 33.33      0.03     0.01   472973     0.00     0.00  DualityEngine::System::isPaused()
  0.00      0.03     0.00  1820556     0.00     0.00  DualityEngine::System::isPauseConfirmed()
  0.00      0.03     0.00   516440     0.00     0.00  DualityEngine::System::isQuit()
  0.00      0.03     0.00    82680     0.00     0.00  std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, DualityEngine::Soul>, std::allocator<std::pair<unsigned long const, DualityEngine::Soul> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::at(unsigned long const&)
  0.00      0.03     0.00    24871     0.00     0.00  DualityEngine::operator*(glm::detail::tvec3<float, (glm::precision)0>, float)
  0.00      0.03     0.00    24862     0.00     0.00  DualityEngine::ComponentBank::getState(unsigned long const&)
  0.00      0.03     0.00    20721     0.00     0.00  DualityEngine::ComponentBank::stateOn(unsigned long const&, unsigned char const&)
  0.00      0.03     0.00    16577     0.00     0.00  DualityEngine::AngularVelocity* DualityEngine::ComponentBank::getComponentPtr<DualityEngine::AngularVelocity>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::AngularVelocity>&)
  0.00      0.03     0.00    16575     0.00     0.00  DualityEngine::ComponentBank::getAngularVelocPtr(unsigned long const&)
  0.00      0.03     0.00    13115     0.00     0.00  DualityEngine::ComponentBank::getRotMat(unsigned long const&)
  0.00      0.03     0.00    12438     0.00     0.00  DualityEngine::LinearVelocity* DualityEngine::ComponentBank::getComponentPtr<DualityEngine::LinearVelocity>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::LinearVelocity>&)
  0.00      0.03     0.00    12436     0.00     0.00  DualityEngine::Orientation* DualityEngine::ComponentBank::getComponentPtr<DualityEngine::Orientation>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::Orientation>&)
  0.00      0.03     0.00    12434     0.00     0.00  DualityEngine::ComponentBank::getLinearVelocPtr(unsigned long const&)
  0.00      0.03     0.00    12431     0.00     0.00  DualityEngine::ComponentBank::getOrientationPtr(unsigned long const&)
  0.00      0.03     0.00    11931     0.00     0.00  DualityEngine::ComponentBank::getPosMat(unsigned long const&)
  0.00      0.03     0.00     8966     0.00     0.00  DualityEngine::ComponentBank::getModMat(unsigned long const&)
  0.00      0.03     0.00     8289     0.00     0.00  DualityEngine::ComponentBank::getPositionPtr(unsigned long const&)
  0.00      0.03     0.00     8288     0.00     0.00  DualityEngine::Position* DualityEngine::ComponentBank::getComponentPtr<DualityEngine::Position>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::Position>&)
  0.00      0.03     0.00     5942     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0> glm::detail::operator*<float, (glm::precision)0>(glm::detail::tmat4x4<float, (glm::precision)0> const&, glm::detail::tmat4x4<float, (glm::precision)0> const&)
  0.00      0.03     0.00     4147     0.00     0.00  DualityEngine::System_UserInput::tick()
  0.00      0.03     0.00     4147     0.00     0.00  DualityEngine::System_PhysCollide::tick()
  0.00      0.03     0.00     4146     0.00     0.00  DualityEngine::System_PhysMove::tick()
  0.00      0.03     0.00     4145     0.00     0.00  DualityEngine::System_Control_SS::tick()
